item_oid,topic,question,data_type,mandatory,option_a,option_b,option_c,option_d,condition_oid,condition_expression
I.1,Roof Condition Testing,What material is your roof made of?,singleselect,No,Asphalt,Metal,Tile,Wood,,
I.2,Roof Condition Testing,What type of roof do you have?,multiselect,No,Sloped,Flat,,,C.1,"!(I.1 == ""1"")"
I.5,Roof Condition Testing,How old is your current roof?,singleselect,No,Less than 10 years,10–20 years ,Over 20 years,,,
I.7,Roof Condition Testing,Have you noticed any of the following in your Roof? (Select all that apply),multiselect,No,Cracked or broken shingles,Curled Shingles,Granular loss in the asphalt sheets,Leaks inside your house,,
I.8,Roof Condition Testing,How much area of the roof is affected from above?,singleselect,No,0-30%,30-70%,70-100%,,C.4,"!(I.7 == ""1"")"
I.10,Roof Condition Testing,How much are the shingles curling?,singleselect,No,Significantly curled,Slightly Curved,,,C.6,"!(I.7 == ""2"")"
I.11,Roof Condition Testing,How far is the Flexibility of the Shingles?,singleselect,No,100%,30-75%,0-30%,,C.7,"!(I.7 == ""2"")"
I.12,Roof Condition Testing,How much granule coverage do the asphalt shingles have?,singleselect,No,Granule coverage 70–100%,Granule coverage less than 70%,,,C.8,"!(I.7 == ""3"")"
I.13,Roof Condition Testing,Where have you seen the leakage signs?,singleselect,No,Walls,Ceilings,In the attic,Other,C.9,"!(I.7 == ""4"")"
I.14,Roof Condition Testing,Specify the location of leakage signs,text,No,,,,,C.10,"!(I.13 == ""4"")"
I.15,Roof Condition Testing,How much area is affected from leakage?,singleselect,No,Only a Small Area,Multiple areas across the surface,Most or all of the surface,,C.11,"!(I.7 == ""4"")"
I.16,Roof Condition Testing,Which flashing is damaged or missing?,singleselect,No,Step / Wall Flashing,Perimeter Edge Flashing,Chimney (Counter Flashing),,C.12,"!(I.7 == ""5"")"
I.17,Roof Condition Testing,What is the condition of the Flashing?,singleselect,No,Minor damage in flashing,Minor damage in flashing Major damage in flashing,Missing sections,,C.13,"!(I.7 == ""5"")"
I.18,Roof Condition Testing,How far is the moss and lichen growth on the roof?,singleselect,No,Only a Small Area ,Multiple areas across the roof,Most or all of the roof,,C.14,"!(I.7 == ""6"")"
I.50,Roof Condition Testing,How far is the black algae growth on the roof?,singleselect,No,Only a Small Area ,Multiple areas across the roof,Most or all of the roof,,C.26,"!(I.7 == ""7"")"
I.19,Roof Condition Testing,How much is the debris accumulation?,singleselect,No,Only a Small Area,Multiple areas across the roof,Most or all of the roof,,C.15,"!(I.7 == ""8"")"
I.65,Roof Condition Testing,Are you currently enrolled in any type of a roof maintenance program?,singleselect,No,Yes,No,,,C.32,"!(I.7 == ""8"")"
I.66,Roof Condition Testing,One thing to be aware of - debris and buildup can increase the risk of leaks overtime. Would it be helpful to see how a simple annual or semi-annual maintenance program can prevent that?,singleselect,No,Yes,No,,,C.33,"!(I.65 == ""1"")"
I.20,Roof Condition Testing,Does the Debris clog in Gutter & Downspouts?,boolean,No,,,,,C.16,"!(I.7 == ""8"")"
I.21,Roof Facets & Area,How many roof facets do you have on your house?,integer,No,,,,,,
I.24,Skylights,What is the material used for Skylight in roof?,singleselect,No,Glass,Acrylic,Polycarbonate,,,
I.25,Skylights,What is the condition of the Skylight in roof?,singleselect,No,Good,Fair,Poor,,,
I.26,Roof Vents,What is the condition of the Roof Vent in roof?,singleselect,No,Good,Fair,Poor,,,
I.28,Roof Facet,What is the condition of the Pipes in roof?,singleselect,No,Good,Fair,Poor,,C.23,"!(I.38 == ""1"")"
I.32,Roof Facet,What is the length of the roof?,integer,No,,,,,,
I.33,Roof Facet,What is the width of the roof?,integer,No,,,,,,
I.34,Roof Facet,How much square footage does this roof occupy?,integer,No,,,,,,
I.35,Roof Facet,How many Skylights are present in this particular roof?,integer,No,,,,,,
I.37,Roof Facet,How many Roof Vents are present in this particular roof?,integer,No,,,,,,
I.38,Roof Facet,Do you have any pipes coming out of your roof?,singleselect,No,Yes,No,,,,
I.39,Roof Facet,Ridges,integer,No,,,,,,
I.40,Roof Facet,Eaves/Starter,integer,No,,,,,,
I.41,Roof Facet,Valleys,integer,No,,,,,,
I.42,Roof Facet,Rakes,integer,No,,,,,,
I.43,Roof Facet,Hips,integer,No,,,,,,
I.44,Roof Measurements,What is the name of building - 1?,text,No,,,,,C.27,"!(I.45 == ""1"" || I.45 == ""2"" || I.45 == ""3"" || I.45 == ""4"" || I.45 == ""5"")"
I.45,Roof Measurements,How many buildings were measured,integer,No,,,,,,
I.46,Roof Facet,What are the roof pitch measurements?,singleselect,No,< 4:12 (moderate),5:12 - 7:12 (standard),8:12 - 11:12 (steep),12:12+ (very steep),,
I.47,Roof Facet,What is the roof area for this pitch?,integer,No,,,,,,
I.51,Roof Facet,Do you have solar panels on the roof?,singleselect,No,Yes,No,,,,
I.52,Roof Facet,What percentage (%) of this facet/roof section is covered with solar panels?,float,No,,,,,C.24,"!(I.51 == ""1"")"
I.53,Roof Facet,Do you have chimneys on the roof?,singleselect,No,Yes,No,,,,
I.54,Roof Facet,How many chimneys are there on this facet/roof section?,integer,No,,,,,C.25,"!(I.53 == ""1"")"
I.55,Roof Facet,How many pipes?,integer,No,,,,,C.23,"!(I.38 == ""1"")"
I.56,Roof Facet,Predominant Pitch,singleselect,No,4/12,5/12,6/12,7–8/12,,
I.57,Roof Facet,Drip Edge (Eaves + Rakes),text,No,,,,,,
I.58,Roof Facet,Parapet Walls,text,No,,,,,,
I.59,Roof Facet,Flashing,text,No,,,,,,
I.60,Roof Facet,Step flashing,text,No,,,,,,
I.6,Roof Facet,Total Area (All Pitches),integer,No,,,,,,
I.61,Roof Measurements,What is the name of building - 2?,text,No,,,,,C.28,"!(I.45 == ""2"" || I.45 == ""3"" || I.45 == ""4"" || I.45 == ""5"")"
I.62,Roof Measurements,What is the name of building - 3?,text,No,,,,,C.29,"!(I.45 == ""3"" || I.45 == ""4"" || I.45 == ""5"")"
I.63,Roof Measurements,What is the name of building - 4?,text,No,,,,,C.30,"!(I.45 == ""4"" || I.45 == ""5"")"
I.64,Roof Measurements,What is the name of building - 5?,text,No,,,,,C.31,"!(I.45 == ""5"")"
I.67,Waste Calculation,Area,text,No,,,,,,
I.68,Waste Calculation,Waste,text,No,,,,,,
